datetime_0,target,number_0,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20,number_21,number_22,number_23,number_24,number_25,number_26,number_27,number_28,number_29,number_30,number_31,number_32,number_33,number_34,number_35,number_36,number_37,number_38,line_id
2017-12-17,0.0,0.5332872854789862,0.4882466471732136,0.3592964824120605,0.7874165872259294,0.599623925358745,0.3636363636363637,0.32545201668984697,0.3091482649842271,0.2952380952380952,0,0,0.988990514905149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37
2018-01-06,0.0,0.6523032782530153,0.4362996075913943,0.1809045226130655,0.0,0.5961340801708271,0.18181818181818185,0.2739916550764951,0.1861198738170347,0.1936507936507935,0,0,0.9901196928635954,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2017-05-12,27.59936950703333,0.7928377875777057,0.04820126393129733,0.6331658291457288,0.8846520495710201,0.19741528360967905,0.7272727272727273,0.4700973574408902,0.7539432176656152,0.7587301587301588,0,0,0.9766260162601628,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2017-08-04,25.283833020326657,0.5236172360660963,0.14419427505544066,0.4698492462311559,0.8789323164918971,0.3944003123331766,0.6363636363636364,0.12100139082058416,0.6403785488958993,0.653968253968254,0,0,0.9813685636856369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
2017-04-01,0.0,0.5379097816269062,0.039152446323215184,0.8417085427135681,0.9704480457578646,0.19210880668010555,0.9090909090909092,0.5062586926286509,0.914826498422713,0.9142857142857144,0,0,0.9743112014453478,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2017-07-07,23.382904903756668,0.6121353806917805,0.08531971214524825,0.6306532663316585,0.8817921830314586,0.3930697092592444,0.6363636363636364,0.4728789986091794,0.6277602523659306,0.6349206349206348,0,0,0.979787714543812,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2017-06-26,37.62479260792,0.668827373678338,0.06896697395058665,0.6105527638190957,0.86558627264061,0.3948385349024357,0.6363636363636364,0.11821974965229486,0.6277602523659306,0.6285714285714286,0,0,0.9791666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,47
2017-04-11,24.003223946213325,0.43972158758833213,0.2222836233913474,0.6934673366834173,0.9180171591992374,0.19653087078808354,0.9090909090909092,0.1321279554937413,0.9053627760252368,0.9111111111111112,0,0,0.9748757904245708,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2017-05-17,29.740048086690003,0.6891769831571117,0.05142519997627655,0.6482412060301511,0.8789323164918971,0.19741528360967905,0.7272727272727273,0.1223922114047288,0.7223974763406943,0.7428571428571427,0,0,0.976908310749774,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2017-10-18,29.586708653583326,0.588013389299187,0.34887123430925426,0.3517587939698494,0.7893231649189704,0.4014756149059414,0.4545454545454545,0.08901251738525731,0.3722397476340697,0.377777777777778,0,0,0.9856029810298104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50
2017-06-18,0.0,0.43037033101322986,0.1078305321540298,0.7035175879396985,0.8922783603431839,0.3957229477240313,0.7272727272727273,0.4840055632823366,0.6656151419558363,0.6253968253968254,0,0,0.9787149954832882,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2017-12-11,38.187478506546675,0.8904415280803356,0.3831428003877329,0.3793969849246233,0.7979027645376549,0.3999298843889186,0.3636363636363637,0.08623087621696801,0.3186119873817035,0.3015873015873014,0,0,0.9886517615176152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54
2017-11-17,29.494478417059998,0.4499229583975346,0.4077305936713125,0.3819095477386936,0.7883698760724499,0.4001529795150868,0.3636363636363637,0.36439499304589706,0.3123028391167194,0.311111111111111,0,0,0.9872967479674796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56
2017-03-17,26.09745522008667,0.4045481111524361,0.21173646357785814,0.8718592964824121,0.9742612011439468,0.19414056586485215,1.0,0.5424200278164116,0.9810725552050478,0.984126984126984,0,0,0.9734643179765132,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2017-03-22,27.436030162180003,0.5357844960416556,0.2113287334042069,0.8743718592964824,0.9733079122974262,0.1960926482188245,1.0,0.14603616133518774,0.9747634069400629,0.946031746031746,0,0,0.9737466124661248,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
2017-03-05,0.0,0.35130970724191063,0.17146818330558306,0.8216080402010052,0.9656816015252622,0.0017688256431912163,1.0,0.5674547983310153,0.993690851735016,0.9968253968253971,0,0,0.9727868112014454,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2017-11-28,34.587874630336664,0.22235800435683545,0.4270530551209044,0.4346733668341708,0.7998093422306959,0.4019218051582781,0.3636363636363637,0.09596662030598052,0.3123028391167194,0.3079365079365079,0,0,0.9879177958446252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,62
2017-05-01,0.0,0.4160777854524202,0.06419636084026603,0.8140703517587944,0.9342230695900858,0.19829969643127468,0.9090909090909092,0.7148817802503477,0.8611987381703471,0.8349206349206351,1,0,0.9760049683830172,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2017-12-18,65.16674158890335,0.5418415599596195,0.5024838708027679,0.2688442211055277,0.7550047664442325,0.599623925358745,0.18181818181818185,0.05980528511821975,0.2649842271293376,0.25714285714285706,0,0,0.9890469738030714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65
2017-08-31,28.990918166729998,0.5536900270973912,0.2372894928630833,0.5628140703517591,0.8446139180171591,0.3961691379763677,0.6363636363636364,0.10152990264255912,0.5615141955835965,0.5777777777777777,0,0,0.9828929539295392,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,66
2017-04-21,25.277023654196665,0.46352478614313797,0.19470066900965566,0.7738693467336687,0.9380362249761678,0.19829969643127468,0.9090909090909092,0.5076495132127956,0.8927444794952681,0.876190476190476,0,0,0.9754403794037941,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2017-12-22,44.43610071875333,0.753094947133521,0.4464316691303761,0.2688442211055277,0.7521448999046708,0.6006198857434246,0.18181818181818185,0.3963838664812239,0.2082018927444796,0.20317460317460312,0,0,0.9892728093947606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72
2017-07-12,26.239833872876662,0.2987088890069603,0.17681181932823942,0.5829145728643216,0.8703527168732127,0.3966073605456269,0.6363636363636364,0.1223922114047288,0.6309148264984227,0.6349206349206348,0,0,0.9800700090334236,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2017-08-19,0.0,0.6832261835184101,0.1985682564343538,0.5150753768844222,0.8436606291706387,0.3957229477240313,0.6363636363636364,0.4130737134909597,0.6151419558359624,0.6253968253968254,0,0,0.9822154471544716,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75
2017-10-10,31.375865018816672,0.6528877317889591,0.3017145458293315,0.44974874371859297,0.8122020972354623,0.3992685666934912,0.4545454545454545,0.0973574408901252,0.4290220820189277,0.4317460317460319,0,0,0.9851513098464318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76
2017-08-01,31.58315146732,0.4456192550874024,0.09574393618683956,0.6105527638190957,0.8856053384175404,0.3944003123331766,0.6363636363636364,0.12378303198887344,0.6340694006309152,0.6380952380952378,0,0,0.98119918699187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77
2017-03-06,27.5868159823,0.5418946920992509,0.1715060945655902,0.806532663316583,0.96186844613918,0.0017688256431912163,1.0,0.14881780250347704,0.993690851735016,0.9968253968253971,0,0,0.9728432700993676,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2017-06-11,0.0,0.3320227405557622,0.13175583230660334,0.6532663316582916,0.8836987607244995,0.1996302995052069,0.7272727272727273,0.6578581363004172,0.7003154574132493,0.6857142857142856,0,0,0.978319783197832,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
2017-07-02,0.0,0.4318580309229052,0.07680501825465479,0.6582914572864322,0.894184938036225,0.38333320053861536,0.6363636363636364,0.478442280945758,0.6372239747634073,0.6317460317460316,0,0,0.9795054200542004,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2017-10-06,29.948078014056676,0.7033101322990276,0.2036143732178887,0.4597989949748746,0.8045757864632983,0.3997067892627503,0.4545454545454545,0.5396383866481224,0.4321766561514197,0.4317460317460319,0,0,0.9849254742547424,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81
2017-03-27,37.79162462717999,0.5281334679347537,0.12767714332027216,0.8291457286432161,0.9561487130600572,0.1943158548925557,0.9090909090909092,0.13908205841446453,0.9432176656151421,0.93015873015873,0,0,0.9740289069557362,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,82
2017-10-25,41.49632799357334,0.4309016524095425,0.4715535269736692,0.3492462311557791,0.786463298379409,0.4014756149059414,0.4545454545454545,0.09179415855354657,0.3470031545741328,0.3333333333333333,0,0,0.9859981933152664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,83
2017-11-10,0.0,0.6210084480102013,0.3001914224320431,0.341708542713568,0.7816968541468065,0.4005912020843459,0.3636363636363637,0.3630041724617524,0.30283911671924296,0.311111111111111,0,0,0.9869015356820234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84
2017-01-20,28.811713635179995,0.5058711014292546,0.17858730091933514,0.9120603015075378,0.9818875119161108,0.006190889751169213,1.0,0.5897079276773296,0.9842271293375398,0.984126984126984,0,0,0.9703026196928636,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
2017-09-25,46.83906166596665,0.7428404441846873,0.2505748412744398,0.3969849246231159,0.8007626310772165,0.3966073605456269,0.4545454545454545,0.06954102920723228,0.4605678233438487,0.4539682539682537,0,0,0.9843044263775972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90
2017-07-26,38.81302509639334,0.3798947983635301,0.11393203547229147,0.6482412060301511,0.8779790276453766,0.3961691379763677,0.6363636363636364,0.12795549374130738,0.6277602523659306,0.6317460317460316,0,0,0.980860433604336,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91
2017-01-28,0.0,0.08857127676531536,0.15327581578667634,0.9698492462311559,0.9990467111534796,0.007521492825101304,1.0,0.6369958275382476,0.9842271293375398,0.984126984126984,0,0,0.970754290876242,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
2017-03-13,35.514639669833336,0.5595345624568302,0.16985325591540698,0.8643216080402012,0.9704480457578646,0.0017688256431912163,1.0,0.15577190542420027,0.9810725552050478,0.9873015873015876,0,0,0.9732384823848238,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
2017-05-05,23.826218822926663,0.6930556293501938,0.0,0.7412060301507539,0.9142040038131554,0.19697706104042,0.7272727272727273,0.8831710709318498,0.7981072555205051,0.7968253968253967,0,1,0.9762308039747064,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
2017-02-27,47.53867743767666,0.7597895967270603,0.07571652998701546,0.9246231155778896,0.9895138226882746,0.002207048212450253,1.0,0.15716272600834494,0.996845425867508,0.9968253968253971,0,1,0.9724480578139116,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,97
2017-05-16,26.93460919304667,0.6567663779820414,0.04654162805278479,0.6005025125628141,0.8798856053384175,0.19741528360967905,0.7272727272727273,0.11821974965229486,0.7444794952681392,0.7650793650793649,0,0,0.976851851851852,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
2017-01-12,22.16102338810667,0.7844429095159661,0.10884665567359432,0.8693467336683418,0.9752144899904672,0.009736508720629136,1.0,0.14603616133518774,0.993690851735016,0.9873015873015876,0,0,0.9698509485094852,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
2017-01-30,36.92162775938333,0.1081239041496201,0.151371796182405,0.9547738693467336,0.992373689227836,0.008852095899033484,1.0,0.172461752433936,0.9842271293375398,0.984126984126984,0,0,0.9708672086720868,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100
2017-08-08,27.273124565823327,0.28526645768025083,0.2720761604765504,0.4396984924623119,0.8150619637750239,0.3961691379763677,0.6363636363636364,0.10709318497913768,0.6403785488958993,0.6444444444444446,0,0,0.981594399277326,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102
2017-11-06,0.0,0.6652143881834122,0.28521371206113183,0.3793969849246233,0.7940896091515729,0.4014756149059414,0.3636363636363637,0.4770514603616134,0.3186119873817035,0.3206349206349206,1,0,0.9866757000903342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103
2017-03-20,36.46440386907,0.4560862865947612,0.20895154033786606,0.8919597989949749,0.9733079122974262,0.1959093915080433,1.0,0.14603616133518774,0.9810725552050478,0.9682539682539684,0,0,0.97363369467028,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
2017-03-21,27.25425433289,0.4198501673662398,0.21234393406248386,0.8869346733668343,0.9752144899904672,0.19502497868644764,1.0,0.14325452016689846,0.9747634069400629,0.9555555555555554,0,0,0.9736901535682024,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
2017-12-21,44.61304585559333,0.6618670633866426,0.4493241204998085,0.2587939698492463,0.7511916110581506,0.6006198857434246,0.18181818181818185,0.052851182197496516,0.21135646687697165,0.20952380952380933,0,0,0.9892163504968384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107
2017-12-27,62.69349046051666,0.7437968226980499,0.4420835076059757,0.2361809045226132,0.7607244995233556,0.6011138820942259,0.18181818181818185,0.03616133518776078,0.1987381703470032,0.2,0,0,0.9895551038843722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,108
2017-11-04,0.0,0.6652143881834122,0.28521371206113183,0.3793969849246233,0.7940896091515729,0.4014756149059414,0.3636363636363637,0.4770514603616134,0.3186119873817035,0.3206349206349206,0,0,0.9865627822944896,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109
2017-05-20,0.0,0.4965729769937836,0.1198460175179718,0.6608040201005025,0.8798856053384175,0.19786147386201566,0.7272727272727273,0.4881780250347705,0.7160883280757101,0.7333333333333333,0,0,0.9770776874435412,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
2017-04-12,24.948603115466668,0.475851442537591,0.19177150432515652,0.7788944723618093,0.9370829361296472,0.19697706104042,0.9090909090909092,0.13908205841446453,0.9022082018927448,0.9079365079365082,0,0,0.9749322493224932,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
2017-09-18,30.78024087477,0.18373093884490724,0.34920500543279864,0.3743718592964825,0.8026692087702574,0.39705355079796345,0.4545454545454545,0.07788595271210015,0.5173501577287066,0.5047619047619045,0,0,0.9839092140921408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115
2017-09-06,23.201782542340002,0.4043887147335424,0.31589270929437296,0.5075376884422113,0.8493803622497617,0.3948385349024357,0.6363636363636364,0.09179415855354657,0.5583596214511044,0.5428571428571429,0,0,0.9832317073170732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117
2017-06-06,29.425186085463327,0.5365814781361246,0.10984762001335564,0.7889447236180904,0.9056244041944708,0.1991920769359478,0.7272727272727273,0.14047287899860916,0.7034700315457414,0.6857142857142856,0,0,0.9780374887082204,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
2017-04-16,0.0,0.4171404282450455,0.1748698056430761,0.7914572864321607,0.9466158245948522,0.19564645796648789,0.9090909090909092,0.5257301808066759,0.9022082018927448,0.9015873015873014,0,0,0.9751580849141824,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
